Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
534,Matt Thomas,SG,27,CHI,40,0,459,4.3,10.5,0.41,2.7,7.1,0.385,1.6,3.4,0.465,1.3,1.6,0.8,0.2,3.7,3.9,1.6,0.6,0.2,0.6,1.4,12.6
535,Klay Thompson,SG,31,GSW,30,30,876,9,21.5,0.418,4.2,11.2,0.371,4.8,10.3,0.468,1.7,1.8,0.911,0.6,4.3,4.8,3.4,0.7,0.7,1.6,2.1,23.8
536,Tristan Thompson,PF,30,TOT,55,5,868,5.6,10.6,0.523,0,0.1,0.333,5.5,10.5,0.526,2.4,4.6,0.523,4.7,6.8,11.6,1.4,1,0.9,1.9,3.9,13.6
537,JT Thor,PF,19,CHO,30,0,248,3.5,7.8,0.444,1,3.8,0.269,2.5,4.1,0.607,1.6,2.6,0.611,1.6,4.2,5.8,2.6,1.2,1.5,1.2,3.6,9.6
538,Matisse Thybulle,SG,24,PHI,64,49,1625,3.2,6.5,0.497,1,3.1,0.312,2.3,3.4,0.667,0.8,1,0.791,0.9,2.3,3.2,1.6,2.5,1.5,0.8,3.4,8.2
539,Killian Tillie,C,23,MEM,36,3,461,3.4,9.9,0.339,2.1,6.7,0.314,1.2,3.2,0.39,0.4,0.6,0.625,1.6,3,4.7,1.7,1.8,1.2,1,4.5,9.2
540,Xavier Tillman Sr.,PF,23,MEM,50,1,648,5.2,11.2,0.463,0.5,2.4,0.209,4.7,8.8,0.532,2.4,3.7,0.657,3.5,5.2,8.7,3.2,2.6,0.8,1.8,3.3,13.3
541,Isaiah Todd,PF,20,WAS,10,0,41,4.4,14.9,0.294,3.5,9.7,0.364,0.9,5.3,0.167,1.8,5.3,0.333,1.8,7,8.8,2.6,1.8,1.8,0.9,0.9,14
542,Obi Toppin,PF,23,NYK,70,8,1151,6.9,13.2,0.522,1.3,4.6,0.274,5.7,8.7,0.653,2.8,3.7,0.748,2.1,5.8,7.9,2.3,0.7,1,1.6,3.1,17.9
543,Juan Toscano-Anderson,SF,28,GSW,71,6,968,4.2,8.6,0.485,1,3.2,0.306,3.2,5.4,0.589,1.5,2.6,0.571,1,5.4,6.4,4.6,1.8,0.6,2.4,4.1,10.8
